PeakID (cmd=annotatePeaks.pl ../output/bam_coverage_my_aln_sorted.filtered.bam.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
165	chr10	9362064	9362236	+	0	NA	Intergenic	Intergenic	-24594	NR_120635	101928272		NR_120635		LOC101928272	-	uncharacterized LOC101928272	ncRNA
288	chr22	46558651	46558797	+	0	NA	intron (NM_001001928, intron 2 of 7)	intron (NM_001001928, intron 2 of 7)	12026	NM_001362873	5465		NM_005036	ENSG00000186951	PPARA	NR1C1|PPAR|PPAR-alpha|PPARalpha|hPPAR	peroxisome proliferator activated receptor alpha	protein-coding
22	chr1	92116731	92116871	+	0	NA	Intergenic	Intergenic	150136	NM_001134420	8317		NM_003503	ENSG00000097046	CDC7	CDC7L1|HsCDC7|Hsk1|huCDC7	cell division cycle 7	protein-coding
155	chr9	31820685	31820815	+	0	NA	Intergenic	MER52A|LTR|ERV1	-439262	NR_135134	101929620		NR_135134	ENSG00000260720	LINC01243	-	long intergenic non-protein coding RNA 1243	ncRNA
224	chr12	130227772	130227849	+	0	NA	intron (NM_133448, intron 1 of 8)	THE1C|LTR|ERVL-MaLR	160760	NM_133448	121256		NM_133448	ENSG00000151952	TMEM132D	MOLT|PPP1R153	transmembrane protein 132D	protein-coding
62	chr3	95478708	95478805	+	0	NA	Intergenic	MER52A|LTR|ERV1	-76719	NR_077228	100287639		NR_077228	ENSG00000293294	MTHFD2P1	-	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 1	pseudo
121	chr7	66367858	66368062	+	0	NA	Intergenic	Intergenic	-1147	NR_136637	644794		NR_136637		LINC02604	lncHERG	long intergenic non-protein coding RNA 2604	ncRNA
122	chr7	77690633	77690679	+	0	NA	intron (NM_012301, intron 21 of 21)	intron (NM_012301, intron 21 of 21)	221209	NM_001127359	57157		NM_020432	ENSG00000006576	PHTF2	-	putative homeodomain transcription factor 2	protein-coding
3	chr1	6408015	6408161	+	0	NA	intron (NM_007274, intron 2 of 8)	intron (NM_007274, intron 2 of 8)	10901	NM_181866	11332		NM_007274	ENSG00000097021	ACOT7	ACH1|ACT|BACH|CTE-II|LACH|LACH1|hBACH	acyl-CoA thioesterase 7	protein-coding
289	chr22	46558815	46558959	+	0	NA	intron (NM_001001928, intron 2 of 7)	L2a|LINE|L2	12189	NM_001362873	5465		NM_005036	ENSG00000186951	PPARA	NR1C1|PPAR|PPAR-alpha|PPARalpha|hPPAR	peroxisome proliferator activated receptor alpha	protein-coding
256	chr18	36815178	36815320	+	0	NA	intron (NR_024391, intron 3 of 3)	LTR12C|LTR|ERV1	386890	NR_030628	100126323		NR_030628	ENSG00000283615	MIR924	MIRN924|hsa-mir-924	microRNA 924	ncRNA
253	chr18	5382576	5382662	+	0	NA	Intergenic	L2c|LINE|L2	-85567	NM_001243704	7541		NM_003409	ENSG00000198081	ZBTB14	ZF5|ZFP-161|ZFP-5|ZFP161|ZNF478	zinc finger and BTB domain containing 14	protein-coding
215	chr12	54821871	54821918	+	0	NA	intron (NR_120487, intron 3 of 3)	intron (NR_120487, intron 3 of 3)	8325	NR_120488	102724050		NR_120486	ENSG00000258137	GPR84-AS1	-	GPR84, ZNF385A, ITGA5 and GTSF1 antisense RNA 1	ncRNA
188	chr10	134788336	134788479	+	0	NA	intron (NR_046231, intron 2 of 2)	intron (NR_046231, intron 2 of 2)	9369	NR_046231	399829		NR_046231	ENSG00000240707	LINC01168	-	long intergenic non-protein coding RNA 1168	ncRNA
265	chr20	57575692	57575819	+	0	NA	intron (NM_001336, intron 3 of 5)	intron (NM_001336, intron 3 of 5)	6554	NM_001336	1522		NM_001336	ENSG00000101160	CTSZ	CTSX	cathepsin Z	protein-coding
163	chr9	129443513	129443749	+	0	NA	intron (NM_001174146, intron 2 of 7)	L2a|LINE|L2	67424	NM_001174146	4010		NM_002316	ENSG00000136944	LMX1B	FSGS10|LMX1.2|NPS1	LIM homeobox transcription factor 1 beta	protein-coding
166	chr10	18592723	18592742	+	0	NA	intron (NM_001330060, intron 1 of 12)	intron (NM_001330060, intron 1 of 12)	-36906	NM_201590	783		NM_000724	ENSG00000165995	CACNB2	CAB2|CACNLB2|CAVB2|MYSB	calcium voltage-gated channel auxiliary subunit beta 2	protein-coding
56	chr3	16190360	16190403	+	0	NA	Intergenic	Intergenic	-25806	NM_001319051	117248		NM_054110	ENSG00000131386	GALNT15	GALNACT15|GALNT13|GALNT7|GALNTL2|PIH5|pp-GalNAc-T15	polypeptide N-acetylgalactosaminyltransferase 15	protein-coding
116	chr7	54573680	54573710	+	0	NA	Intergenic	MER82|DNA|TcMar-Tigger	-36323	NM_182546	222008		NM_182546	ENSG00000170419	VSTM2A	VSTM2	V-set and transmembrane domain containing 2A	protein-coding
113	chr7	24382443	24382469	+	0	NA	Intergenic	L2b|LINE|L2	58647	NM_000905	4852		NM_000905	ENSG00000122585	NPY	PYY4	neuropeptide Y	protein-coding
51	chr2	215795213	215795232	+	0	NA	intron (NR_110292, intron 2 of 3)	intron (NR_110292, intron 2 of 3)	83551	NR_145773	109617008		NR_145773	ENSG00000207274	SNORA70I	-	small nucleolar RNA, H/ACA box 70I	snoRNA
42	chr2	114743785	114744015	+	0	NA	intron (NR_148508, intron 1 of 1)	intron (NR_148508, intron 1 of 1)	-6339	NR_034130	100499194		NR_034130		LINC02992	-	long intergenic non-protein coding RNA 2992	ncRNA
225	chr13	103508250	103508282	+	0	NA	intron (NM_000123, intron 4 of 14)	L2c|LINE|L2	9884	NM_000123	2073		NM_000123	ENSG00000134899	ERCC5	COFS3|ERCC5-201|ERCM2|UVDR|XPG|XPGC	ERCC excision repair 5, endonuclease	protein-coding
15	chr1	34477726	34477820	+	0	NA	intron (NM_052896, intron 3 of 69)	L2a|LINE|L2	143216	NR_038372	402779		NR_038372	ENSG00000231163	CSMD2-AS1	-	CSMD2 antisense RNA 1	ncRNA
277	chr19	50545312	50545462	+	0	NA	intron (NM_001006656, intron 4 of 4)	intron (NM_001006656, intron 4 of 4)	-8459	NR_027257	400710		NR_027257	ENSG00000204666	ZNF473CR	-	ZNF473 cis regulating lncRNA	ncRNA
147	chr8	141092051	141092116	+	0	NA	intron (NR_164662, intron 16 of 22)	intron (NR_164662, intron 16 of 22)	18551	NR_144431	359809		NR_144431	ENSG00000282164	PEG13	-	paternally expressed 13	ncRNA
251	chr17	71583782	71583884	+	0	NA	intron (NM_001144952, intron 1 of 44)	intron (NM_001144952, intron 1 of 44)	56751	NM_001144952	54549		NM_019064	ENSG00000069188	SDK2	-	sidekick cell adhesion molecule 2	protein-coding
154	chr9	26640902	26641034	+	0	NA	Intergenic	Intergenic	251832	NM_024828	79886		NM_024828	ENSG00000120159	CAAP1	C9orf82|CAAP	caspase activity and apoptosis inhibitor 1	protein-coding
79	chr4	151666148	151666168	+	0	NA	intron (NM_001199282, intron 35 of 56)	MLT1E1A|LTR|ERVL-MaLR	162855	NM_006439	10586		NM_006439	ENSG00000181541	MAB21L2	MCOPS14|MCSKS14	mab-21 like 2	protein-coding
207	chr11	130066572	130066711	+	0	NA	intron (NM_021978, intron 11 of 18)	intron (NM_021978, intron 11 of 18)	36964	NM_021978	6768		NM_021978	ENSG00000149418	ST14	ARCI11|CAP3|HAI|MT-SP1|MTSP1|PRSS14|SNC19|TADG15|TMPRSS14	ST14 transmembrane serine protease matriptase	protein-coding
252	chr18	2925042	2925241	+	0	NA	intron (NM_014646, intron 14 of 19)	intron (NM_014646, intron 14 of 19)	21480	NR_026659	727896		NR_026659		CHORDC1P4	-	CHORDC1 pseudogene 4	pseudo
46	chr2	122462997	122463018	+	0	NA	intron (NR_037857, intron 2 of 3)	intron (NR_037857, intron 2 of 3)	31444	NM_032390	84365		NM_032390	ENSG00000155438	NIFK	MKI67IP|Nopp34	nucleolar protein interacting with the FHA domain of MKI67	protein-coding
138	chrX	129519625	129519758	+	0	NA	promoter-TSS (NM_178471)	promoter-TSS (NM_178471)	-180	NM_178471	139760		NM_178471	ENSG00000147262	GPR119	GPCR2	G protein-coupled receptor 119	protein-coding
123	chr7	97782306	97782373	+	0	NA	intron (NM_014916, intron 4 of 13)	L2a|LINE|L2	46165	NM_014916	22853		NM_014916	ENSG00000164715	LMTK2	AATYK2|BREK|KPI-2|KPI2|LMR2|PPP1R100|cprk|hBREK	lemur tyrosine kinase 2	protein-coding
199	chr11	75966138	75966280	+	0	NA	Intergenic	Intergenic	-48663	NM_004626	7481		NM_004626	ENSG00000085741	WNT11	HWNT11	Wnt family member 11	protein-coding
126	chr7	157306214	157306311	+	0	NA	Intergenic	Intergenic	47337	NR_110157	101927914		NR_110157	ENSG00000234210	LOC101927914	-	uncharacterized LOC101927914	ncRNA
99	chr6	40527082	40527224	+	0	NA	intron (NM_020737, intron 1 of 2)	intron (NM_020737, intron 1 of 2)	27950	NM_020737	57497		NM_020737	ENSG00000156564	LRFN2	FIGLER2|KIAA1246|SALM1	leucine rich repeat and fibronectin type III domain containing 2	protein-coding
41	chr2	106042989	106043038	+	0	NA	intron (NM_001374399, intron 1 of 6)	intron (NM_001374399, intron 1 of 6)	11957	NM_201557	2274		NM_001450	ENSG00000115641	FHL2	AAG11|DRAL|FHL-2|SLIM-3|SLIM3	four and a half LIM domains 2	protein-coding
52	chr2	230341651	230341670	+	0	NA	intron (NM_139072, intron 7 of 12)	intron (NM_139072, intron 7 of 12)	-205657	NM_001330158	55022		NM_017933	ENSG00000153823	PID1	HMFN2073|NYGGF4|P-CLI1|PCLI1	phosphotyrosine interaction domain containing 1	protein-coding
66	chr4	7132070	7132312	+	0	NA	Intergenic	Intergenic	-27088	NR_027441	730971		NR_027441		LINC02447	-	long intergenic non-protein coding RNA 2447	ncRNA
264	chr20	43118109	43118239	+	0	NA	exon (NM_001039199, exon 5 of 5)	exon (NM_001039199, exon 5 of 5)	13660	NM_001039199	79183		NM_024331	ENSG00000124120	TTPAL	C20orf121	alpha tocopherol transfer protein like	protein-coding
21	chr1	72149073	72149094	+	0	NA	intron (NM_173808, intron 4 of 6)	intron (NM_173808, intron 4 of 6)	153612	NR_046218	100852409		NR_046218	ENSG00000228853	NEGR1-IT1	-	NEGR1 intronic transcript 1	ncRNA
161	chr9	108922454	108922473	+	0	NA	Intergenic	L2a|LINE|L2	-440746	NR_107048	102465995		NR_107048	ENSG00000277889	MIR8081	hsa-mir-8081	microRNA 8081	ncRNA
239	chr16	49207936	49208029	+	0	NA	Intergenic	MER102b|DNA|hAT-Charlie	107767	NM_004352	869		NM_004352	ENSG00000102924	CBLN1	-	cerebellin 1 precursor	protein-coding
61	chr3	86892809	86892842	+	0	NA	Intergenic	Intergenic	147474	NM_001320494	389136		NM_016206	ENSG00000206538	VGLL3	VGL-3|VGL3	vestigial like family member 3	protein-coding
214	chr12	52292762	52292865	+	0	NA	Intergenic	Intergenic	-8475	NM_000020	94		NM_000020	ENSG00000139567	ACVRL1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	activin A receptor like type 1	protein-coding
26	chr1	112739734	112739753	+	0	NA	Intergenic	LTR52|LTR|ERVL	-199093	NM_018704	55917		NM_018704	ENSG00000143079	CTTNBP2NL	-	CTTNBP2 N-terminal like	protein-coding
298	chr17_gl383561_fix	359529	359660	+	0	NA	NA	Intergenic	NA	NA								
111	chr7	3561365	3561463	+	0	NA	intron (NM_152744, intron 1 of 44)	intron (NM_152744, intron 1 of 44)	220530	NM_152744	221935		NM_152744	ENSG00000146555	SDK1	-	sidekick cell adhesion molecule 1	protein-coding
112	chr7	7967728	7967747	+	0	NA	Intergenic	L2a|LINE|L2	40646	NR_110018	100505921		NR_110018		GLCCI1-DT	-	GLCCI1 divergent transcript	ncRNA
162	chr9	122950735	122950948	+	0	NA	Intergenic	L2c|LINE|L2	56487	NR_029604	406939		NR_029604	ENSG00000207814	MIR147A	MIR147|MIRN147|hsa-mir-147a	microRNA 147a	ncRNA
110	chr7	2926414	2926571	+	0	NA	Intergenic	Intergenic	-42550	NM_001293092	2768		NM_007353	ENSG00000146535	GNA12	HG1M1|NNX3|RMP|gep	G protein subunit alpha 12	protein-coding
160	chr9	101766246	101766405	+	0	NA	intron (NM_001855, intron 8 of 41)	L2c|LINE|L2	60136	NM_001855	1306		NM_001855	ENSG00000204291	COL15A1	-	collagen type XV alpha 1 chain	protein-coding
287	chr22	45298896	45299069	+	0	NA	intron (NM_138415, intron 5 of 12)	intron (NM_138415, intron 5 of 12)	100518	NR_147506	101927551		NR_147506	ENSG00000230922	LOC101927551	-	uncharacterized LOC101927551	ncRNA
82	chr5	54518052	54518147	+	0	NA	exon (NM_001190787, exon 5 of 7)	exon (NM_001190787, exon 5 of 7)	5044	NM_001190787	345643		NM_001190787	ENSG00000234602	MCIDAS	CILD42|IDAS|MCI|MCIN	multiciliate differentiation and DNA synthesis associated cell cycle protein	protein-coding
1	chr1	6350088	6350176	+	0	NA	intron (NM_007274, intron 7 of 8)	MLT1D|LTR|ERVL-MaLR	-28974	NM_207370	387509		NM_207370	ENSG00000158292	GPR153	PGR1	G protein-coupled receptor 153	protein-coding
250	chr17	69404264	69404378	+	0	NA	Intergenic	Intergenic	-206001	NR_104152	101928165		NR_104152	ENSG00000260785	CASC17	LINC00600	cancer susceptibility 17	ncRNA
209	chr12	30919654	30919793	+	0	NA	intron (NR_135046, intron 1 of 1)	MLT1F2|LTR|ERVL-MaLR	11715	NR_135046	645485		NR_135046	ENSG00000246331	LOC645485	-	uncharacterized LOC645485	ncRNA
74	chr4	77620755	77620954	+	0	NA	intron (NM_020859, intron 2 of 10)	intron (NM_020859, intron 2 of 10)	124150	NR_039655	100616254		NR_039655	ENSG00000283682	MIR548AH	-	microRNA 548ah	ncRNA
197	chr11	64933303	64933479	+	0	NA	Intergenic	L1MC4|LINE|L1	-4234	NM_001008778	387778		NM_001008778	ENSG00000204710	SPDYC	RINGOC|Ringo2|SPDYE4	speedy/RINGO cell cycle regulator family member C	protein-coding
279	chr22	28962395	28962415	+	0	NA	intron (NM_001145418, intron 2 of 22)	LTR81A|LTR|Gypsy	106548	NR_106713	102466081		NR_106713	ENSG00000276162	MIR5739	hsa-mir-5739	microRNA 5739	ncRNA
149	chr8	144563575	144563659	+	0	NA	intron (NM_015117, intron 4 of 11)	intron (NM_015117, intron 4 of 11)	24801	NR_145785	109623485		NR_145785		SNORD149	-	small nucleolar RNA, C/D box 149	snoRNA
94	chr6	12987761	12987924	+	0	NA	intron (NM_001374583, intron 1 of 10)	intron (NM_001374583, intron 1 of 10)	-25944	NM_001322314	221692		NM_030948	ENSG00000112137	PHACTR1	DEE70|EIEE70|RPEL|RPEL1|dJ257A7.2	phosphatase and actin regulator 1	protein-coding
178	chr10	102448223	102448286	+	0	NA	Intergenic	Intergenic	-46899	NM_001304569	5076		NM_000278	ENSG00000075891	PAX2	FSGS7|PAPRS|PAX-2	paired box 2	protein-coding
120	chr7	55259373	55259590	+	0	NA	exon (NM_001346898, exon 21 of 27)	exon (NM_001346898, exon 21 of 27)	-2839	NR_047551	100507500		NR_047551	ENSG00000224057	EGFR-AS1	-	EGFR antisense RNA 1	ncRNA
248	chr16	88361245	88361397	+	0	NA	Intergenic	Intergenic	-88046	NM_001367624	84627		NM_001127464	ENSG00000225614	ZNF469	BCS|BCS1|Zfp469	zinc finger protein 469	protein-coding
237	chr16	25773505	25773612	+	0	NA	intron (NM_006040, intron 1 of 1)	MLT1A|LTR|ERVL-MaLR	70278	NM_006040	9951		NM_006040	ENSG00000182601	HS3ST4	3-OST-4|30ST4|3OST4|h3-OST-4	heparan sulfate-glucosamine 3-sulfotransferase 4	protein-coding
35	chr1	228160948	228161035	+	0	NA	Intergenic	Intergenic	6279	NR_153418	107985355		NR_153418		LOC107985355	-	uncharacterized LOC107985355	ncRNA
81	chr5	10631823	10631897	+	0	NA	intron (NM_001164440, intron 2 of 3)	MER72|LTR|ERV1	67678	NM_001164440	651746		NM_001164440	ENSG00000164236	ANKRD33B	-	ankyrin repeat domain 33B	protein-coding
108	chr6	169721857	169721956	+	0	NA	Intergenic	Intergenic	-67965	NR_167744	7058		NM_003247	ENSG00000186340	THBS2	TSP2	thrombospondin 2	protein-coding
86	chr5	153250595	153250630	+	0	NA	Intergenic	Intergenic	27935	NR_146729	105378238		NR_146729	ENSG00000251183	LINC01861	-	long intergenic non-protein coding RNA 1861	ncRNA
31	chr1	204148469	204148654	+	0	NA	Intergenic	Intergenic	-13096	NM_000537	5972		NM_000537	ENSG00000143839	REN	ADTKD4|HNFJ2|RTD	renin	protein-coding
179	chr10	105352430	105352567	+	0	NA	TTS (NM_004210)	TTS (NM_004210)	-75299	NR_120676	102724341		NR_120675	ENSG00000235470	NEURL1-AS1	-	NEURL1 antisense RNA 1	ncRNA
85	chr5	139717243	139717319	+	0	NA	intron (NM_001945, intron 3 of 5)	intron (NM_001945, intron 3 of 5)	8907	NM_001945	1839		NM_001945	ENSG00000113070	HBEGF	DTR|DTS|DTSF|HEGFL	heparin binding EGF like growth factor	protein-coding
70	chr4	10591143	10591162	+	0	NA	intron (NM_052964, intron 3 of 18)	intron (NM_052964, intron 3 of 18)	95240	NM_052964	116449		NM_052964	ENSG00000109684	CLNK	MIST	cytokine dependent hematopoietic cell linker	protein-coding
97	chr6	39287187	39287223	+	0	NA	intron (NM_001135107, intron 1 of 4)	intron (NM_001135107, intron 1 of 4)	3273	NM_001135105	83795		NM_032115	ENSG00000095981	KCNK16	K2p16.1|TALK-1|TALK1	potassium two pore domain channel subfamily K member 16	protein-coding
